order_id,customer_id,order_status,order_purchase_timestamp
070a76f4c338fe3cda93745a22e51270,de4f592a5c6155b2fe6f87b30aaeec9c,delivered,2017-12-31 23:29:31
8acda261d8c76b3206d9cb5279d0a18a,dc3daad47c0792f3bd4366246a7955dc,delivered,2017-12-31 23:24:10
18f39cbc016f34a22c870ef03cba5641,92566e623b70efba98063150b200cba4,delivered,2017-12-31 22:14:53
43e38490d21c8c490334f75c5a7c2861,2f368064b4e6646a7784a46b03b4bcbc,delivered,2017-12-31 21:17:54
60d98124c3228470422ecadff6550e3c,98a1a1e41310f70974831b79bf01e4e6,delivered,2017-12-31 21:10:02
136f44c4aee8436faeb4d831e83344ef,ce3fd019ee6c37bef63731c9aa9ae70e,delivered,2017-12-31 21:03:13
0c355e13567802628373895daf5f0a61,3e3cb27f0d01f9763177c6de2d4bf139,delivered,2017-12-31 20:17:14
f813be1cdc38407e8e55a3ff18509b8d,58aad244991735b54dffc6781d3a508d,delivered,2017-12-31 19:38:28
35298b52820bdcc64b7bf71ccc28a36c,52496ddf0025f7b0ec3cb640a97990f8,delivered,2017-12-31 19:28:24
d9009d1d046dfcfcdc8deb608482e570,7e1936a6225e2de4e07205ba49dc7de7,delivered,2017-12-31 19:10:00
29049da83627b9d57b5f4f9bf861378c,c277744e507e2e184d51d5e438b90103,delivered,2017-12-31 18:40:52
bfde1814043e239cb93af22b6b09214b,f10f70292bca6ab2abd34b96b08d312d,delivered,2017-12-31 18:35:45
ac305427188e9565c90c55a300d21206,13e36720b99a82c65a4701e93acdd6a4,delivered,2017-12-31 18:15:52
048e6e4623dbf118c43e0f5572016faa,7c43cc8f6953deea674d34207a646886,delivered,2017-12-31 17:57:21
56f67ddc4dcd366ecf0d6ac941581ac3,2b135100730ee38ba51b4e01aa8d23bf,delivered,2017-12-31 17:56:51
b72528954592dd3225bff1b524a08dda,68dd34002f944ab9a6fa25771296a550,delivered,2017-12-31 17:55:07
5d33903bb05adb5e3110148fef46e92e,bf7c8f97ec53670a016b95248a03528e,delivered,2017-12-31 17:42:13
203dfaee9b8175009f58d07065d8ee8f,6b05152bdc92e7134f747c0d0db61d37,delivered,2017-12-31 17:38:44
a08091683d8adb340e3b204a12e48b02,bb633302ed9e9ab6619faf5f96beeb57,delivered,2017-12-31 17:23:20
20e6ee55f4ed8d49e64540668547a14e,7e1cc7ea671a5c655c0ed5f06c897f95,delivered,2017-12-31 16:56:09
